icsd_id,formula,Final_label,group name,color,x,y
155940,Sm6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-21.389597,-34.481464
155077,Gd6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-23.685133,-34.39751
155936,La6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-16.820534,-35.023014
155943,Dy6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-24.745298,-31.866573
23519,La6 Cu2 Si2 S14,52,All other groups,#BCBD22,-16.882301,-36.196487
155942,Tb6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-24.111826,-32.35574
620907,Ce6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-17.635286,-35.406807
627792,Tb6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-24.746225,-34.177155
628875,Sm6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-21.372507,-34.767857
628248,La6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-16.775492,-35.31225
429434,Nd6 Ga2 Cu2 S14,52,All other groups,#BCBD22,-17.653233,-38.041477
155080,Er6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-26.905678,-32.0189
628724,Pr6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-18.626196,-35.2613
627789,Sm6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-21.663914,-35.644608
628525,Nd6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-19.544722,-35.238667
159886,Ho6 Cu2 Si2 S14,52,All other groups,#BCBD22,-26.709618,-33.363415
155944,Ho6 Cu2 Sn2 S14,52,All other groups,#BCBD22,-25.374578,-31.393604
627608,Gd6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-23.79457,-34.650814
627147,Dy6 Cu2 Ge2 S14,52,All other groups,#BCBD22,-25.694616,-33.631195
82155,U6 Cu4 S14,52,All other groups,#BCBD22,-19.337296,-34.101917
40223,Nb7.2 Cu1.374 S12,49,All other groups,#BCBD22,-41.52989,-1.4744287
258578,Cu12 Sn21 S48,-1,No group,#17becf,-22.867636,31.402742
420857,Zr22.287 Cu12 S48,23,Spinel,#2ca02c,-11.393852,-8.630398
41263,Cu27 S15,-1,No group,#17becf,10.958215,16.28215
42054,Ti3 Cu2.1 S6,-1,No group,#17becf,-36.318165,-0.5552571
154696,Cu12.0 Sn21 S48,-1,No group,#17becf,-22.870886,31.403189
85050,Ta7.116 Cu1.584 S12,49,All other groups,#BCBD22,-40.961765,-1.2010152
5106,K0.15 Na0.21 Ca0.84 Al9 Cu0.18 As1.44 H18 S4.56 O43.62,-1,No group,#17becf,10.186051,-35.602924
24344,Cu6 S6 N6 O18,-1,No group,#17becf,34.299873,-31.389793
100441,Al4.797 Fe1.206 Cu2.997 H18 Pb3 S6 O42,-1,No group,#17becf,9.935335,-34.780445
50964,Cu12 Sn21 S48,23,Spinel,#2ca02c,-26.542482,29.75445
170228,Ti24 Cu12 S48,23,Spinel,#2ca02c,-11.401718,-8.642398
85051,Ta7.08 Cu1.716 S12,49,All other groups,#BCBD22,-40.92779,-1.2397753
166302,Al0.18 Zn0.18 Fe5.76 Cu2.88 H18 Pb3 S6 O42,-1,No group,#17becf,9.906597,-34.78672
403065,Cu18 Se46.8 S7.2 I18,-1,No group,#17becf,32.706886,-6.438981
85049,Ta7.188 Cu0.84 S12,49,All other groups,#BCBD22,-41.10696,-0.93465996
236251,Ta6 Cu1.44 S12,49,All other groups,#BCBD22,-40.16323,-0.9035727
22307,Fe3.21 Cu2.79 S6,-1,No group,#17becf,-5.524282,35.286274
88972,Cu7.956 Sn1.983 S12,-1,No group,#17becf,20.63663,12.981956
403064,Cu18 Se42.48 S11.52 Br18,-1,No group,#17becf,32.728626,-6.4529123
625766,Cr3 Cu3 S6,54,All other groups,#BCBD22,-32.98032,-1.9702079
199731,Tb0.67 Cu2 S2,55,Rare-earth intercalated,#9467bd,-21.655064,1.6597619
91580,Ti1 Cu0.2106 S2,48,All other groups,#BCBD22,-40.490906,4.40157
171687,Cu3.772 Ag12.2262 Sb0.808 As1.192 S11.0002,-1,No group,#17becf,18.944336,19.830185
53257,Li0.9 Fe1.02 Cu1.02 S2,-1,No group,#17becf,0.03728033,-17.124405
628973,Yb0.67 Cu2 S2,55,Rare-earth intercalated,#9467bd,-24.402023,2.5373313
83745,Er0.667 Cu2 S2,55,Rare-earth intercalated,#9467bd,-23.48919,2.2109795
628834,Sc1 Cu1 S2,55,Rare-earth intercalated,#9467bd,-27.360605,-1.0687157
627629,Gd0.67 Cu2 S2,55,Rare-earth intercalated,#9467bd,-21.349573,2.2836075
81306,Na1 Cu4 S4,-1,No group,#17becf,1.9500936,-8.695204
156292,Dy0.667 Cu2 S2,55,Rare-earth intercalated,#9467bd,-22.25358,1.5696273
628970,Yb1 Cu2 S2,55,Rare-earth intercalated,#9467bd,-24.825863,-0.049859494
199736,Y0.89 Cu1.34 S2,55,Rare-earth intercalated,#9467bd,-26.563814,-0.78046316
94009,Ti1 Cu0.2106 S2,48,All other groups,#BCBD22,-40.49106,4.4016776
628306,Lu1 Cu2 S2,55,Rare-earth intercalated,#9467bd,-25.305866,0.34615687
95104,Nb2 Cu0.42 C1 S2,56,All other groups,#BCBD22,-43.223457,-2.3299754
199734,Yb0.89 Cu1.34 S2,55,Rare-earth intercalated,#9467bd,-25.999342,-1.0486664
164136,Cu4.294 Ag11.706 Sb1.382 As0.618 S11,57,All other groups,#BCBD22,19.58046,21.614035
171685,Cu2.968 Ag13.032 Sb0.82 As1.18 S11,57,All other groups,#BCBD22,19.615223,21.596699
628962,Y1 Cu2 S2,55,Rare-earth intercalated,#9467bd,-25.167395,0.49597147
156781,Cu3.04 Ag12.96 Sb1.846 As0.154 S11.0002,-1,No group,#17becf,19.353567,20.621923
198777,Sc0.67 Cu2 S2,55,Rare-earth intercalated,#9467bd,-25.269411,2.7048988
627964,Ho0.67 Cu2 S2,55,Rare-earth intercalated,#9467bd,-22.898428,1.5450798
57039,Nb2 Cu0.7 C1 S2,56,All other groups,#BCBD22,-43.545,-1.3067687
95105,Nb2 Cu0.58 C1 S2,56,All other groups,#BCBD22,-43.747444,-1.7263396
190664,Cu1.54 Ag14.46 Sb1.58 Te1.33 As0.42 S9.67,57,All other groups,#BCBD22,20.165743,21.601074
180396,Cu5.668 Ag10.332 Sb0.398 As1.602 S11,57,All other groups,#BCBD22,19.523262,21.62769
23326,Cs1 Cu3 S2,-1,No group,#17becf,4.680222,-14.535695
423549,Yb0.8 Cu1.6 S2,55,Rare-earth intercalated,#9467bd,-26.022106,0.5825005
628309,Lu0.67 Cu2 S2,55,Rare-earth intercalated,#9467bd,-24.955633,2.0269482
423548,Lu0.67 Cu2 S2,55,Rare-earth intercalated,#9467bd,-24.89039,2.058528
100944,Er0.67 Cu2 S2,55,Rare-earth intercalated,#9467bd,-23.027233,2.965862
628965,Y0.67 Cu2 S2,55,Rare-earth intercalated,#9467bd,-25.108753,2.293622
156293,Ho0.667 Cu2 S2,55,Rare-earth intercalated,#9467bd,-22.919868,1.5184673
100945,Dy0.67 Cu2 S2,55,Rare-earth intercalated,#9467bd,-22.115192,2.5835764
627961,Ho1 Cu2 S2,55,Rare-earth intercalated,#9467bd,-23.33205,-0.6863618
91581,Ti1 Cu0.3752 S2,48,All other groups,#BCBD22,-40.241302,4.4428277
95108,Nb2 Cu0.52 C1 S2,56,All other groups,#BCBD22,-43.836555,-2.0141475
199735,Lu0.89 Cu1.34 S2,55,Rare-earth intercalated,#9467bd,-26.33748,-0.7173248
100727,Fe0.61 Cu3.39 S4,-1,No group,#17becf,6.552227,3.468768
95106,Nb2 Cu0.54 C1 S2,56,All other groups,#BCBD22,-43.348583,-1.9128964
42638,Ta2 Cu0.6 C1 S2,56,All other groups,#BCBD22,-42.98695,-1.1678797
53256,Li1 Fe1 Cu1 S2,59,All other groups,#BCBD22,-1.4424517,-18.089676
628937,Tm1 Cu2 S2,55,Rare-earth intercalated,#9467bd,-24.300539,-0.2889517
627162,Dy1 Cu2 S2,55,Rare-earth intercalated,#9467bd,-22.861181,-0.6805057
94479,Er0.851 Cu1.452 S2,55,Rare-earth intercalated,#9467bd,-24.54984,-1.3805028
241336,Ca1 Cu2 S2,55,Rare-earth intercalated,#9467bd,-24.750256,0.2731975
628975,Yb0.5 Cu2.5 S2,55,Rare-earth intercalated,#9467bd,-24.758816,3.4063196
22308,Mg0.68 Al0.32 O2,-1,No group,#17becf,-13.911697,-8.315952
33544,Er0.8889 Cu1.3334 S2,55,Rare-earth intercalated,#9467bd,-25.149574,-1.8462528
423550,Ho0.67 Cu2 S2,55,Rare-earth intercalated,#9467bd,-22.766685,2.0133255
199733,Tm0.89 Cu1.34 S2,55,Rare-earth intercalated,#9467bd,-25.643385,-1.4757333
249124,Cu1.042 Ag14.58 Sb1.66 As0.34 Se2.66 S8.34,57,All other groups,#BCBD22,20.2998,21.58402
628910,Tb1 Cu2 S2,55,Rare-earth intercalated,#9467bd,-22.675276,-0.7286497
95103,Nb2 Cu0.45 C1 S2,56,All other groups,#BCBD22,-43.294098,-2.2879055
628940,Tm0.67 Cu2 S2,55,Rare-earth intercalated,#9467bd,-24.001059,2.0370374
171686,Cu2.9656 Ag13.0404 Sb0.8208 As1.1792 S11.0002,-1,No group,#17becf,18.933817,19.789713
95107,Nb2 Cu0.53 C1 S2,56,All other groups,#BCBD22,-43.576984,-2.0439415
94010,Ti1 Cu0.384 S2,48,All other groups,#BCBD22,-40.23305,4.4523993
16812,Er0.6667 Cu2 S2,55,Rare-earth intercalated,#9467bd,-23.019361,3.0122051
